Ticker,Score,Weight (%),Reason
CPRT,1.00,3,Z″=16.06 Safe; strong EBIT/TA; low D/E.
MNST,1.00,3,Z″=12.47 Safe; strong EBIT/TA; low D/E.
ISRG,1.00,3,Z″=12.65 Safe; strong EBIT/TA; low D/E.
NVDA,1.00,3,Z″=10.84 Safe; strong EBIT/TA; low D/E.
AMAT,1.00,3,Z″=10.32 Safe; strong EBIT/TA; low D/E.
REGN,1.00,3,Z″=10.20 Safe; strong EBIT/TA; low D/E.
LRCX,1.00,3,Z″=9.50 Safe; strong EBIT/TA; low D/E.
TXN,1.00,3,Z″=9.75 Safe; strong EBIT/TA; low D/E.
VRTX,1.00,3,Z″=9.00 Safe; strong EBIT/TA; low D/E.
CSGP,1.00,3,Z″=8.85 Safe; strong EBIT/TA; low D/E.
ODFL,1.00,3,Z″=8.88 Safe; strong EBIT/TA; low D/E.
IDXX,1.00,3,Z″=8.77 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=7.47 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,3,Z″=7.39 Safe; strong EBIT/TA; low D/E.
PCAR,1.00,3,Z″=7.22 Safe; strong EBIT/TA; low D/E.
ON,1.00,3,Z″=6.50 Safe; strong EBIT/TA; low D/E.
VRSK,1.00,3,Z″=6.68 Safe; strong EBIT/TA; low D/E.
SNPS,1.00,3,Z″=6.33 Safe; strong EBIT/TA; low D/E.
META,1.00,3,Z″=6.31 Safe; strong EBIT/TA; low D/E.
BKNG,1.00,3,Z″=6.05 Safe; strong EBIT/TA; low D/E.
AMD,1.00,3,Z″=6.17 Safe; strong EBIT/TA; low D/E.
QCOM,1.00,3,Z″=5.41 Safe; strong EBIT/TA; low D/E.
MU,1.00,3,Z″=5.40 Safe; strong EBIT/TA; low D/E.
BIIB,1.00,3,Z″=4.99 Safe; strong EBIT/TA; low D/E.
DDOG,1.00,3,Z″=4.87 Safe; strong EBIT/TA; low D/E.
DXCM,1.00,3,Z″=4.88 Safe; strong EBIT/TA; low D/E.
INTU,1.00,3,Z″=4.77 Safe; strong EBIT/TA; low D/E.
EA,1.00,3,Z″=4.57 Safe; strong EBIT/TA; low D/E.
AXON,1.00,3,Z″=4.43 Safe; strong EBIT/TA; low D/E.
KLAC,1.00,3,Z″=4.27 Safe; strong EBIT/TA; low D/E.
