Ticker,Score,Weight (%),Reason
BIIB,1.00,4,Highest EY & ROIC; no safety penalty.
KHC,0.99,4,High EY & ROIC; no safety penalty.
BKR,0.98,4,High EY & ROIC; no safety penalty.
CMCSA,0.97,4,High EY & ROIC; mild D/E penalty.
FANG,0.96,4,High EY & ROIC; no safety penalty.
PYPL,0.95,4,High EY & ROIC; mild D/E penalty.
QCOM,0.94,4,High EY & ROIC; mild D/E penalty.
REGN,0.93,4,High EY & ROIC; no safety penalty.
NXPI,0.92,4,High EY & ROIC; mild D/E penalty.
MU,0.91,4,High EY & ROIC; no safety penalty.
CDW,0.90,4,High EY & ROIC; no safety penalty.
GILD,0.89,4,High EY & ROIC; mild D/E penalty.
PCAR,0.88,4,High EY & ROIC; mild D/E penalty.
KDP,0.87,4,High EY & ROIC; mild D/E penalty.
GEHC,0.86,4,High EY & ROIC; mild D/E penalty.
HON,0.85,4,High EY & ROIC; mild D/E penalty.
TXN,0.84,4,High EY & ROIC; mild D/E penalty.
PEP,0.83,4,High EY & ROIC; mild D/E penalty.
AMGN,0.82,4,High EY & ROIC; mild D/E penalty.
CDNS,0.81,4,High EY & ROIC; no safety penalty.
CTAS,0.80,4,High EY & ROIC; mild D/E penalty.
ORLY,0.79,4,High EY & ROIC; no safety penalty.
TMUS,0.78,4,High EY & ROIC; mild D/E penalty.
DXCM,0.77,4,High EY & ROIC; mild D/E penalty.
AMD,0.76,4,High EY & ROIC; no safety penalty.
AAPL,0.75,4,High EY & ROIC; mild D/E penalty.
MSFT,0.74,4,High EY & ROIC; no safety penalty.
META,0.73,4,High EY & ROIC; no safety penalty.
GOOGL,0.72,4,High EY & ROIC; no safety penalty.
MSTR,0.71,4,High EY & ROIC; no safety penalty.
